ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1247198	0.07135	3.37E-05	8.6648862	2.10026	1.0899281	Smagp	small cell adhesion glycoprotein
ILMN_1231340	0.07135	3.47E-05	8.6285844	2.08204	1.03366139	Myadml2	myeloid-associated differentiation marker-like 2
ILMN_1219200	0.07188	3.65E-05	8.5645597	2.04962	0.70252912	P2ry14	"purinergic receptor P2Y, G-protein coupled, 14"
ILMN_2768482	0.08065	4.27E-05	-8.3721817	1.94979	-1.04223116	Mtus2	microtubule associated tumor suppressor candidate 2
ILMN_2965903	0.08294	4.63E-05	-8.2772247	1.89917	-1.8561917	Hdc	histidine decarboxylase
ILMN_1256122	0.08294	4.84E-05	-8.2222491	1.86944	-1.85982991	Hdc	histidine decarboxylase
ILMN_1239878	0.08294	5.09E-05	-8.1623105	1.83668	-2.36526956	Prss34	"protease, serine, 34"
ILMN_3162879	0.08294	5.13E-05	-8.154365	1.83231	-1.40780118	Stx3	syntaxin 3
ILMN_1231982	0.08315	5.37E-05	-8.1002019	1.80234	-1.06506183	Cd200r3	CD200 receptor 3
ILMN_2996683	0.08315	5.87E-05	-7.9964293	1.74404	-0.70057617	Pvrl2	poliovirus receptor-related 2
ILMN_2705628	0.08315	6.39E-05	-7.8974198	1.68734	-0.8212528	Clec4d	"C-type lectin domain family 4, member d"
ILMN_2674906	0.08315	6.62E-05	-7.8570384	1.66391	-1.01651731	Cldn15	claudin 15
ILMN_2774410	0.08315	6.80E-05	-7.8267652	1.64622	-3.67776855	Stfa1	stefin A1
ILMN_1258526	0.08315	6.85E-05	-7.818105	1.64114	-0.6552964	Lgals3bp	"lectin, galactoside-binding, soluble, 3 binding protein"
ILMN_1249486	0.08315	6.92E-05	7.8060459	1.63405	0.86155432	Clec10a	"C-type lectin domain family 10, member A"
ILMN_2645155	0.08315	7.08E-05	7.7808961	1.61922	0.70863605	Hoxa9	homeobox A9
ILMN_3154419	0.08315	7.14E-05	7.7703841	1.61301	0.76820214	P2ry14	"purinergic receptor P2Y, G-protein coupled, 14"
ILMN_2593774	0.08315	7.17E-05	-7.7657274	1.61025	-1.52640103	1190002H23Rik	RIKEN cDNA 1190002H23 gene
ILMN_3115917	0.08315	7.24E-05	-7.755432	1.60414	-2.33774477	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1
ILMN_2513781	0.08315	7.35E-05	-7.7383886	1.594	-0.83478791	A130038J17Rik	RIKEN cDNA A130038J17 gene
ILMN_2742075	0.0895	8.34E-05	-7.5955105	1.50769	-0.73539173	Cd14	CD14 antigen
ILMN_2672443	0.0895	8.47E-05	7.5783978	1.49719	0.58525467	Hoxa10	homeobox A10
ILMN_1240752	0.0895	8.50E-05	-7.5743257	1.49469	-0.7753794		
ILMN_2947292	0.09324	9.06E-05	-7.503382	1.45077	-0.5940306	Map3k6	mitogen-activated protein kinase kinase kinase 6
ILMN_2534151	0.09575	9.57E-05	-7.4433129	1.41311	-0.74190056	Gm12250	predicted gene 12250
ILMN_2534207	0.09575	9.73E-05	-7.4251875	1.40167	-1.01788247		
ILMN_2654554	0.09822	1.04E-04	-7.3558233	1.35749	-0.63470095	Fgl2	fibrinogen-like protein 2
ILMN_1220301	0.09822	1.04E-04	-7.3507922	1.35426	-1.31204139	Cebpe	"CCAAT/enhancer binding protein (C/EBP), epsilon"
ILMN_2988931	0.10316	1.12E-04	-7.2752695	1.30544	-3.37855181	Stfa1	stefin A1
ILMN_2838501	0.10357	1.14E-04	-7.2491475	1.28839	-1.46983985	Slc24a3	"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
ILMN_1217646	0.10557	1.19E-04	-7.2049263	1.25933	-0.5911428	Mitd1	"MIT, microtubule interacting and transport, domain containing 1"
ILMN_3130403	0.10557	1.21E-04	7.1865927	1.24721	1.05550069	Smagp	small cell adhesion glycoprotein
ILMN_2754364	0.10683	1.25E-04	-7.1520942	1.22429	-2.27651451	Ltf	lactotransferrin
ILMN_1225374	0.10683	1.27E-04	-7.1336696	1.21198	-0.73186622	Arsb	arylsulfatase B
ILMN_2854920	0.11494	1.41E-04	-7.0250745	1.13857	-0.66857525	Mogat2	monoacylglycerol O-acyltransferase 2
ILMN_2717127	0.11494	1.42E-04	-7.0178861	1.13365	-0.83261244	Ddx58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
ILMN_2771342	0.11693	1.48E-04	-6.9732316	1.10297	-0.57947702	Fcer1a	"Fc receptor, IgE, high affinity I, alpha polypeptide"
ILMN_2938704	0.11693	1.51E-04	-6.9533386	1.08922	-0.7759501	Il15	interleukin 15
ILMN_2860645	0.11693	1.52E-04	-6.9453451	1.08368	-0.57848721	Gbp7	guanylate binding protein 7
ILMN_1240746	0.11875	1.59E-04	-6.9041551	1.05499	-0.78329967	Mcpt4	mast cell protease 4
ILMN_1236517	0.11875	1.60E-04	-6.8946113	1.04831	-0.94009091	Il18	interleukin 18
ILMN_1219915	0.12013	1.64E-04	-6.8658326	1.0281	-1.52073479	Dgat2	diacylglycerol O-acyltransferase 2
ILMN_1215251	0.12405	1.73E-04	-6.8163395	0.99307	-1.00835262		
ILMN_2803674	0.1355	1.92E-04	-6.7100475	0.91671	-2.78358635	S100a9	S100 calcium binding protein A9 (calgranulin B)
ILMN_1241171	0.14007	2.01E-04	-6.6607687	0.88077	-1.2287238	Anxa3	annexin A3
ILMN_2663230	0.14029	2.06E-04	-6.6368906	0.86324	-0.61585165	Slco3a1	"solute carrier organic anion transporter family, member 3a1"
ILMN_1248718	0.14029	2.08E-04	-6.6286	0.85713	-0.87963338	Cma2	"chymase 2, mast cell"
ILMN_1217978	0.15173	2.28E-04	6.5353345	0.78775	0.7769595	Hoxa5	homeobox A5
ILMN_3075340	0.15471	2.39E-04	6.487487	0.75168	0.51959087	P2ry14	"purinergic receptor P2Y, G-protein coupled, 14"
ILMN_3079461	0.15471	2.39E-04	-6.4872314	0.75148	-1.02887119	Raet1b	retinoic acid early transcript beta
ILMN_2747923	0.16302	2.59E-04	-6.4085822	0.69145	-1.5773031	Slc40a1	"solute carrier family 40 (iron-regulated transporter), member 1"
ILMN_2732430	0.16302	2.61E-04	-6.3992718	0.68429	-0.85770468	Rgs8	regulator of G-protein signaling 8
ILMN_3029849	0.16302	2.63E-04	-6.3943309	0.68048	-1.44843045	Cebpe	"CCAAT/enhancer binding protein (C/EBP), epsilon"
ILMN_2742703	0.16587	2.71E-04	-6.364056	0.65706	-0.65854582	Ms4a2	"membrane-spanning 4-domains, subfamily A, member 2"
ILMN_2627920	0.16969	2.81E-04	-6.3287842	0.62961	-1.38166504	Lpcat2	lysophosphatidylcholine acyltransferase 2
ILMN_2847115	0.18099	3.04E-04	-6.2535307	0.57042	-0.74414462	Niacr1	niacin receptor 1
ILMN_2910934	0.18795	3.23E-04	-6.1955036	0.5242	-0.74086584	Cd52	CD52 antigen
ILMN_2598877	0.18795	3.24E-04	-6.1922896	0.52162	-0.73583336	Slc7a8	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8"
ILMN_2873988	0.18972	3.31E-04	-6.1711198	0.50462	-0.81096061	Rtp4	receptor transporter protein 4
ILMN_2682279	0.20386	3.63E-04	6.0843084	0.43417	0.49376552	Gkap1	G kinase anchoring protein 1
ILMN_2528453	0.20386	3.65E-04	-6.0769511	0.42815	-1.36076936	Cebpe	"CCAAT/enhancer binding protein (C/EBP), epsilon"
ILMN_2915303	0.20386	3.69E-04	-6.0674294	0.42034	-0.7136552	Trem3	triggering receptor expressed on myeloid cells 3
ILMN_2687403	0.21514	3.98E-04	-5.9967081	0.36189	-1.01893684	Fcgr3	"Fc receptor, IgG, low affinity III"
ILMN_2645493	0.21514	4.05E-04	-5.9802149	0.34815	-0.68914631	Pvrl2	poliovirus receptor-related 2
ILMN_2707870	0.21514	4.06E-04	-5.979242	0.34734	-0.93789925	Mx1	myxovirus (influenza virus) resistance 1
ILMN_1229383	0.21514	4.09E-04	-5.972127	0.34139	-0.84188014		
ILMN_2710905	0.21568	4.14E-04	-5.9590229	0.33043	-2.56314147	S100a8	S100 calcium binding protein A8 (calgranulin A)
ILMN_2742068	0.22369	4.40E-04	-5.9038993	0.28399	-0.96177714	Csrp3	cysteine and glycine-rich protein 3
ILMN_2732623	0.22369	4.44E-04	-5.8951422	0.27657	-0.50384011	Itga2b	integrin alpha 2b
ILMN_1223678	0.22369	4.45E-04	-5.8936486	0.2753	-0.52285314	Nedd9	"neural precursor cell expressed, developmentally down-regulated gene 9"
ILMN_1243107	0.22378	4.53E-04	-5.8762116	0.26048	-0.5989778	Arap3	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"
ILMN_2771176	0.22378	4.55E-04	-5.8729531	0.25771	-1.33833958	Ccl7	chemokine (C-C motif) ligand 7
ILMN_2736774	0.22432	4.61E-04	-5.8599127	0.24659	-0.59317695	Stfa2	stefin A2
ILMN_2732795	0.22432	4.66E-04	5.8508906	0.23888	1.39551347	Myl10	"myosin, light chain 10, regulatory"
ILMN_2932453	0.22535	4.73E-04	-5.8369656	0.22695	-0.50461461	P2rx1	"purinergic receptor P2X, ligand-gated ion channel, 1"
ILMN_2429203	0.24131	5.12E-04	5.7647215	0.16456	0.56160439	Zdhhc8	"zinc finger, DHHC domain containing 8"
ILMN_1225085	0.24223	5.20E-04	-5.7492351	0.15108	-0.99722802	Prkcb	"protein kinase C, beta"
ILMN_1260590	0.24223	5.24E-04	-5.742459	0.14517	-0.62398734		
ILMN_3155180	0.24576	5.41E-04	-5.7132278	0.11957	-0.45074127	Itpr2	"inositol 1,4,5-triphosphate receptor 2"
ILMN_1247553	0.24576	5.43E-04	-5.7110084	0.11763	-0.57182098	Sepp1	"selenoprotein P, plasma, 1"
ILMN_2702444	0.25605	5.71E-04	-5.664938	0.07699	-0.54725664	Csgalnact1	chondroitin sulfate N-acetylgalactosaminyltransferase 1
ILMN_2435413	0.25727	5.80E-04	-5.6518109	0.06534	-0.49868957	Nin	ninein
ILMN_2486267	0.26274	6.03E-04	-5.6166602	0.03402	-0.75538888	Ube2l6	ubiquitin-conjugating enzyme E2L 6
ILMN_1228832	0.26274	6.09E-04	-5.6073384	0.02568	-2.11232298	Ngp	neutrophilic granule protein
ILMN_1247199	0.26274	6.09E-04	5.6069019	0.02529	0.94223209	H2afy	"H2A histone family, member Y"
ILMN_1229256	0.26804	6.27E-04	-5.5805884	0.00166	-1.00578322	Bzrap1	benzodiazepine receptor associated protein 1
ILMN_2794741	0.26952	6.37E-04	-5.5672972	-0.01032	-0.83860827	Gm5416	predicted gene 5416
ILMN_2868482	0.27126	6.47E-04	-5.5533007	-0.02297	-0.46805876	Nadk	NAD kinase
ILMN_1225727	0.27229	6.55E-04	-5.5417325	-0.03344	-0.50669273	Cma1	"chymase 1, mast cell"
ILMN_3161805	0.27631	6.71E-04	-5.5206205	-0.05262	-0.85358268	Ccl12	chemokine (C-C motif) ligand 12
ILMN_1225191	0.2859	7.07E-04	5.4752185	-0.09413	0.62274084	Naprt1	nicotinate phosphoribosyltransferase domain containing 1
ILMN_1377919	0.2859	7.14E-04	5.4659113	-0.10268	1.01044413	Tubb2b	"tubulin, beta 2B class IIB"
ILMN_1229630	0.2859	7.17E-04	-5.4619651	-0.10631	-0.8079799	Trim30a	tripartite motif-containing 30A
ILMN_2666935	0.2859	7.31E-04	-5.4451063	-0.12185	-0.62226082	Gm14085	predicted gene 14085
ILMN_2648913	0.2859	7.34E-04	-5.4417335	-0.12497	-0.46912914	Ifih1	interferon induced with helicase C domain 1
ILMN_2897891	0.2859	7.39E-04	-5.4356567	-0.13058	-0.85216388	Rgs1	regulator of G-protein signaling 1
ILMN_2652719	0.2859	7.51E-04	5.4220459	-0.14319	0.52593627	Ptprcap	"protein tyrosine phosphatase, receptor type, C polypeptide-associated protein"
ILMN_3014674	0.2859	7.52E-04	5.420658	-0.14447	0.75289827	Fam169b	"family with sequence similarity 169, member B"
ILMN_2773464	0.2859	7.54E-04	5.4178124	-0.14711	0.49955057	Phc1	polyhomeotic-like 1 (Drosophila)
ILMN_2967654	0.2859	7.64E-04	-5.4069015	-0.15725	-0.70679657	Rapsn	receptor-associated protein of the synapse
ILMN_1259100	0.2859	7.65E-04	-5.4052681	-0.15877	-1.01487134	Pilrb1	paired immunoglobin-like type 2 receptor beta 1
ILMN_1228657	0.2859	7.77E-04	-5.3914956	-0.17159	-0.81453927	Fcgr2b	"Fc receptor, IgG, low affinity IIb"
ILMN_3090207	0.2859	7.80E-04	-5.3884649	-0.17442	-0.8422018	Cyp4f18	"cytochrome P450, family 4, subfamily f, polypeptide 18"
ILMN_1225204	0.2859	7.85E-04	-5.3828793	-0.17963	-2.07976973	Rsad2	radical S-adenosyl methionine domain containing 2
ILMN_3059476	0.2859	7.89E-04	5.3783271	-0.18389	0.614065	Sesn1	sestrin 1
ILMN_3161543	0.29081	8.09E-04	-5.356586	-0.20425	-0.65186684	Ikbke	inhibitor of kappaB kinase epsilon
ILMN_3103062	0.293	8.30E-04	-5.3348061	-0.22473	-1.11872463	Cebpe	"CCAAT/enhancer binding protein (C/EBP), epsilon"
ILMN_2766780	0.293	8.30E-04	-5.3344489	-0.22507	-0.86558409	Lyz2	lysozyme 2
ILMN_2660551	0.293	8.35E-04	-5.3296534	-0.22959	-0.47827961	Lat	linker for activation of T cells
ILMN_1247933	0.29541	8.48E-04	-5.3158815	-0.2426	-0.70426488	Lyz1	lysozyme 1
ILMN_2707865	0.29597	8.56E-04	-5.3076269	-0.25041	-0.63647265	Epsti1	epithelial stromal interaction 1 (breast)
ILMN_3135781	0.29793	8.69E-04	-5.2953441	-0.26205	-1.36849032	Anxa3	annexin A3
ILMN_1256257	0.29808	8.81E-04	-5.2830233	-0.27376	-1.54488442	Isg15	ISG15 ubiquitin-like modifier
ILMN_3117876	0.29808	8.82E-04	-5.2819394	-0.27479	-1.41020537	Chi3l3	chitinase 3-like 3
ILMN_2981167	0.29908	8.92E-04	-5.2726554	-0.28364	-1.21621463	Ifit2	interferon-induced protein with tetratricopeptide repeats 2
ILMN_1213866	0.29944	8.99E-04	5.2652934	-0.29066	0.43182144	Tbc1d9b	"TBC1 domain family, member 9B"
ILMN_1229458	0.29947	9.09E-04	-5.256251	-0.2993	-0.69608913	Prkcb	"protein kinase C, beta"
ILMN_2468473	0.29947	9.13E-04	-5.2526449	-0.30275	-1.13555325	Gas7	growth arrest specific 7
ILMN_1237197	0.30169	9.26E-04	-5.2401229	-0.31474	-0.9297976	Nrp1	neuropilin 1
ILMN_2707996	0.30397	9.41E-04	-5.2265958	-0.32773	-0.67921216	Oosp1	oocyte secreted protein 1
ILMN_1226606	0.30397	9.50E-04	5.2187369	-0.33529	0.43910375	Tmem132a	transmembrane protein 132A
ILMN_1235361	0.30397	9.56E-04	5.2133717	-0.34045	0.58002557	C2cd4a	C2 calcium-dependent domain containing 4A
ILMN_2980212	0.30397	9.60E-04	-5.2094134	-0.34427	-0.49150339	2610034M16Rik	RIKEN cDNA 2610034M16 gene
ILMN_2700239	0.31441	1.00E-03	-5.1703636	-0.38206	-1.4253398	BC100530	cDNA sequence BC100530
ILMN_2624854	0.31441	1.01E-03	-5.166881	-0.38545	-0.71278888	Gstm2	"glutathione S-transferase, mu 2"
ILMN_3139158	0.31441	1.01E-03	-5.162962	-0.38926	-0.69485543	Trim21	tripartite motif-containing 21
ILMN_3153285	0.32144	1.04E-03	-5.1384008	-0.4132	-0.49410732	Evi2a	ecotropic viral integration site 2a
ILMN_2712075	0.3223	1.05E-03	-5.1291921	-0.4222	-0.82337845	Lcn2	lipocalin 2
ILMN_2600911	0.3223	1.07E-03	-5.1160049	-0.43512	-0.56096159	Ppp1r12a	"protein phosphatase 1, regulatory (inhibitor) subunit 12A"
ILMN_2766875	0.3223	1.07E-03	5.1145699	-0.43653	0.75969221	Ociad2	OCIA domain containing 2
ILMN_1254644	0.3223	1.08E-03	-5.1056114	-0.44533	-0.41010088	Spsb2	splA/ryanodine receptor domain and SOCS box containing 2
ILMN_2749448	0.3223	1.09E-03	-5.1015243	-0.44935	-0.38206074	Plekho2	"pleckstrin homology domain containing, family O member 2"
ILMN_2639155	0.3223	1.11E-03	5.0880636	-0.4626	0.44888169	Prcp	prolylcarboxypeptidase (angiotensinase C)
ILMN_2456730	0.3223	1.11E-03	-5.0828992	-0.4677	-0.4601961	Ubash3a	"ubiquitin associated and SH3 domain containing, A"
ILMN_3121522	0.3223	1.12E-03	-5.0799979	-0.47056	-1.11937889	Clec5a	"C-type lectin domain family 5, member a"
ILMN_1256463	0.3223	1.13E-03	5.0738016	-0.47668	0.53158633	Tmem159	transmembrane protein 159
ILMN_2791952	0.3223	1.14E-03	5.061288	-0.48907	0.40931864	Hes6	hairy and enhancer of split 6 (Drosophila)
ILMN_2789650	0.3223	1.14E-03	-5.0609787	-0.48937	-1.35179321	Csrp3	cysteine and glycine-rich protein 3
ILMN_1258688	0.3223	1.15E-03	5.0597589	-0.49058	0.54656015	Cbx6	chromobox 6
ILMN_2954868	0.3223	1.15E-03	-5.0530265	-0.49726	-1.49552552	Oasl2	2'-5' oligoadenylate synthetase-like 2
ILMN_2604521	0.3223	1.15E-03	-5.0529875	-0.4973	-0.62837229		
ILMN_1247710	0.3223	1.16E-03	-5.0523703	-0.49791	-0.4839451	Nod1	nucleotide-binding oligomerization domain containing 1
ILMN_1232084	0.3223	1.16E-03	-5.0486119	-0.50164	-0.84593294	Tmx4	thioredoxin-related transmembrane protein 4
ILMN_1235236	0.3223	1.17E-03	-5.0439698	-0.50625	-0.61720825	Rapsn	receptor-associated protein of the synapse
ILMN_2652482	0.3232	1.18E-03	-5.0320912	-0.51807	-0.74379708	Dfna5	"deafness, autosomal dominant 5 (human)"
ILMN_1246517	0.3232	1.18E-03	-5.0315103	-0.51865	-0.54622215	Klra17	"killer cell lectin-like receptor, subfamily A, member 17"
ILMN_3043036	0.3238	1.19E-03	-5.0249263	-0.52521	-0.95519473	Chi3l3	chitinase 3-like 3
ILMN_2669912	0.3278	1.22E-03	-5.0097063	-0.54041	-0.90314535	Nrp1	neuropilin 1
ILMN_2501267	0.32824	1.23E-03	-5.0036155	-0.54651	-0.56784149	Tmc7	transmembrane channel-like gene family 7
ILMN_1214950	0.33546	1.28E-03	4.9695897	-0.58068	0.64589169	Mef2c	myocyte enhancer factor 2C
ILMN_2596596	0.33546	1.28E-03	-4.9666977	-0.58359	-0.97009174	Rgs1	regulator of G-protein signaling 1
ILMN_1255920	0.33546	1.28E-03	4.9642215	-0.58609	0.46799843	Hoxa3	homeobox A3
ILMN_1246770	0.33546	1.29E-03	-4.9617217	-0.58861	-1.36941968		
ILMN_1225132	0.33546	1.29E-03	-4.9612968	-0.58904	-0.53777158		
ILMN_2997068	0.33633	1.30E-03	-4.9524394	-0.59798	-0.56713304	Cma1	"chymase 1, mast cell"
ILMN_2737903	0.33633	1.31E-03	4.9496579	-0.60079	0.49274866	Fgd2	"FYVE, RhoGEF and PH domain containing 2"
ILMN_1239055	0.33685	1.32E-03	-4.9436919	-0.60683	-1.35775669	Xdh	xanthine dehydrogenase
ILMN_1236702	0.33761	1.33E-03	-4.9357595	-0.61486	-1.21380493	Lilrb4	"leukocyte immunoglobulin-like receptor, subfamily B, member 4"
ILMN_1251669	0.33761	1.33E-03	-4.932539	-0.61813	-0.73542275	Evi2a	ecotropic viral integration site 2a
ILMN_2922560	0.34209	1.36E-03	-4.9170623	-0.63384	-0.41213418	Slc16a9	"solute carrier family 16 (monocarboxylic acid transporters), member 9"
ILMN_2700166	0.35045	1.40E-03	-4.8925996	-0.65877	-0.4738044	Ccnd2	cyclin D2
ILMN_1247682	0.35407	1.42E-03	-4.8796261	-0.67204	-0.83467592	Atp6v0a1	"ATPase, H+ transporting, lysosomal V0 subunit A1"
ILMN_1221503	0.35987	1.45E-03	4.861793	-0.69032	0.62357062	Ccnd1	cyclin D1
ILMN_2701534	0.36956	1.50E-03	-4.8355842	-0.7173	-0.36653275	Ampd2	adenosine monophosphate deaminase 2
ILMN_1218226	0.3706	1.51E-03	-4.828842	-0.72426	-0.86488261	Slc45a3	"solute carrier family 45, member 3"
ILMN_2585738	0.37723	1.56E-03	-4.8066688	-0.74721	-0.47212395	Phf20l1	PHD finger protein 20-like 1
ILMN_2740149	0.37723	1.56E-03	-4.8020023	-0.75205	-0.47197686	Chpt1	choline phosphotransferase 1
ILMN_2754594	0.37723	1.57E-03	-4.801272	-0.75281	-0.44289214	B4galt7	"xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)"
ILMN_2811282	0.38389	1.61E-03	-4.7786098	-0.77638	-0.49877256	Tmx4	thioredoxin-related transmembrane protein 4
ILMN_2915279	0.38389	1.61E-03	-4.7784605	-0.77654	-0.62958141	Mov10	Moloney leukemia virus 10
ILMN_1248824	0.38929	1.64E-03	4.76215	-0.79356	0.46852953	Strbp	spermatid perinuclear RNA binding protein
ILMN_2602597	0.38929	1.65E-03	4.7570221	-0.79892	0.47902647	Sh3rf1	SH3 domain containing ring finger 1
ILMN_2430513	0.38929	1.66E-03	4.7526832	-0.80347	0.643903	Eya1	eyes absent 1 homolog (Drosophila)
ILMN_2712044	0.38929	1.67E-03	4.7502499	-0.80601	0.69656934	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)
ILMN_2720338	0.39123	1.70E-03	4.7346476	-0.82238	0.53291832	Dach1	dachshund 1 (Drosophila)
ILMN_2995688	0.39123	1.71E-03	-4.730789	-0.82643	-2.61483715	Gm5483	predicted gene 5483
ILMN_2663083	0.39123	1.72E-03	-4.7262616	-0.83119	-1.05443464	Fcnb	ficolin B
ILMN_2601471	0.39123	1.72E-03	4.7245895	-0.83295	0.56061197	Ccnd1	cyclin D1
ILMN_1228913	0.39123	1.74E-03	-4.7157393	-0.84227	-0.7711677	Parp12	"poly (ADP-ribose) polymerase family, member 12"
ILMN_2696994	0.39123	1.74E-03	4.7143785	-0.8437	0.47112272	Poll	"polymerase (DNA directed), lambda"
ILMN_2624630	0.39123	1.75E-03	-4.7102179	-0.84809	-1.16451992	Fcnb	ficolin B
ILMN_1216972	0.39123	1.76E-03	-4.7081027	-0.85032	-0.92549955	Clec4e	"C-type lectin domain family 4, member e"
ILMN_1215592	0.39123	1.76E-03	-4.7062668	-0.85226	-0.38212887	D6Mm5e	"DNA segment, Chr 6, Miriam Meisler 5, expressed"
ILMN_2622255	0.39123	1.76E-03	4.7056671	-0.85289	0.7256143	Ephb2	Eph receptor B2
ILMN_2684575	0.39504	1.79E-03	4.6939434	-0.86528	0.34543517	Pcyox1l	prenylcysteine oxidase 1 like
ILMN_2699307	0.40258	1.85E-03	-4.66809	-0.89269	-0.9930683	Hebp1	heme binding protein 1
ILMN_1256644	0.40258	1.85E-03	-4.6672646	-0.89357	-0.40889816	Slc6a12	"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12"
ILMN_1213448	0.40258	1.85E-03	4.6671089	-0.89373	0.96447333		
ILMN_2651706	0.40331	1.86E-03	-4.6618217	-0.89936	-0.66452667	Dtx4	deltex 4 homolog (Drosophila)
ILMN_2761430	0.40458	1.88E-03	4.6553796	-0.90621	0.42962426	Rab6b	"RAB6B, member RAS oncogene family"
ILMN_1235735	0.40458	1.90E-03	-4.6472343	-0.91489	-0.59860795	Slco3a1	"solute carrier organic anion transporter family, member 3a1"
ILMN_2639239	0.40458	1.90E-03	-4.6459521	-0.91626	-1.14886548	Serpinf1	"serine (or cysteine) peptidase inhibitor, clade F, member 1"
ILMN_2441335	0.40458	1.90E-03	-4.643633	-0.91873	-0.61257366	Abcg1	"ATP-binding cassette, sub-family G (WHITE), member 1"
ILMN_2847787	0.40458	1.91E-03	-4.6403946	-0.92219	-0.73772894	Emr1	"EGF-like module containing, mucin-like, hormone receptor-like sequence 1"
ILMN_1233075	0.40998	1.95E-03	4.6261042	-0.93747	0.35602128	Ercc2	"excision repair cross-complementing rodent repair deficiency, complementation group 2"
ILMN_1259174	0.4105	1.98E-03	-4.6124019	-0.95215	-1.74617226	Scin	scinderin
ILMN_2638487	0.4105	2.00E-03	4.6049346	-0.96017	0.58247989	Eya1	eyes absent 1 homolog (Drosophila)
ILMN_3158725	0.4105	2.03E-03	-4.5923585	-0.97369	-1.72680928	Raet1b	retinoic acid early transcript beta
ILMN_2868220	0.4105	2.03E-03	-4.591442	-0.97468	-0.43186615	Inhba	inhibin beta-A
ILMN_2861051	0.4105	2.04E-03	-4.588828	-0.9775	-0.80049247	Mrgpra7	"MAS-related GPR, member A7"
ILMN_2654624	0.4105	2.04E-03	-4.5873924	-0.97904	-0.79871113		
ILMN_2660438	0.4105	2.05E-03	-4.5857555	-0.98081	-0.66663789	Tank	TRAF family member-associated Nf-kappa B activator
ILMN_1237868	0.4105	2.06E-03	4.5815367	-0.98535	0.54859153	Cd24a	CD24a antigen
ILMN_1214126	0.4105	2.06E-03	4.5799478	-0.98707	0.58445383	Hes6	hairy and enhancer of split 6 (Drosophila)
ILMN_1244409	0.4105	2.07E-03	4.5782289	-0.98892	0.36735518	Cmtm4	CKLF-like MARVEL transmembrane domain containing 4
ILMN_2619408	0.4105	2.08E-03	-4.5745863	-0.99286	-0.90605025	Atf3	activating transcription factor 3
